"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","nonmirrored_text_on_back_layer","Non-Mirrored text on back layer","@(159.205 mm, 160.075 mm): Footprint text of G1 (4)"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(153.616818 mm, 159.9 mm): PCB text 'CC BY-SA https://creativecommons.org' on B.Silkscreen"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(130.7 mm, 153.8 mm): PCB text 'https://maidavale.org/projects/rc2014-ym2149' on B.Silkscreen"
"Violations","warning","False","text_thickness","Text thickness out of range (TrueType font characters with insufficient stroke weight)","@(153.616818 mm, 148.15 mm): PCB text 'YM/AY sound card' on B.Silkscreen"
"Violations","warning","False","lib_footprint_issues","The current configuration does not include the footprint library 'electrified'","@(149.05 mm, 126.2 mm): Footprint CON1"
"Violations","warning","False","lib_footprint_issues","The current configuration does not include the footprint library 'electrified'","@(114.26 mm, 118.4 mm): Footprint RV2"
"Violations","warning","False","lib_footprint_issues","The current configuration does not include the footprint library 'electrified'","@(124.3 mm, 118.4 mm): Footprint RV3"
"Violations","warning","False","lib_footprint_issues","The current configuration does not include the footprint library 'electrified'","@(104.22 mm, 118.4 mm): Footprint RV1"
